"0hr"	"9.5hr"	"11.5hr"	"13.5hr"	"15.5hr"	"18.5hr"	"20.5hr"
"1075"	-0.128	0.079	-0.287	0.146	0.156	-0.083	-0.247
"1076"	-0.012	0.158	-0.086	-0.162	-0.095	-0.73	-0.293
"1077"	0.424	0.419	0.302	-0.101	-0.165	-1.777	-1.772
"1078"	-0.052	-0.309	-0.261	-0.176	-0.157	0.248	0.176
"1079"	0.176	-0.02	-0.243	0.035	0.061	-0.202	0.574
"1080"	-0.769	-0.6	-0.465	-0.635	-0.469	1.81	0.404
"1081"	0.212	0.214	-0.228	-0.53	-0.573	-0.814	-1.314
"1082"	0.071	-0.032	-0.23	-0.129	0.008	-0.384	-0.235
"1083"	-0.179	-0.369	-0.088	0.16	0.112	0.4	0.308
"1084"	-0.152	-0.312	-0.147	-0.164	-0.151	0.046	-0.159
"1085"	-0.361	-0.658	-0.186	-0.504	-0.771	0.694	0.869
"1086"	0.299	0.082	0.045	0.338	-0.215	-0.246	0.417
"1087"	-0.035	-0.279	-0.243	-0.065	-0.241	-0.393	-0.392
"1088"	0.122	0.015	0.285	0.488	0.77	0.406	-0.397
"1089"	0.146	-0.002	0.064	-0.018	-0.035	-0.283	-0.308
"1090"	0.022	0.207	-0.151	-0.138	0.074	-0.602	-0.34
"1091"	-0.03	-0.051	0.696	0.237	0.423	0.268	-0.175
"1092"	-0.25	-0.283	0.259	0.055	-0.431	0.077	-0.558
"1093"	0.228	0.44	-0.045	0.125	-0.069	-0.868	-0.717
"1094"	-0.592	-0.37	0.311	-0.084	-0.445	1.772	2.581
"1095"	0.166	0.607	0.055	0.208	-0.065	-0.924	-0.658
"1096"	-0.492	NA	0.434	0.034	-0.572	0.525	-0.171
"1097"	0.061	NA	-0.216	-0.15	-0.159	-0.403	-0.105
"1098"	0.088	NA	0.497	0.003	0.048	0.486	-0.009
"1099"	-0.304	-0.024	0.346	0.107	0.032	0.768	0.39
"1100"	0.12	0.162	0.114	0.419	0.243	1.093	0.252
"1101"	0.082	0.071	-0.096	0.247	0.316	-0.432	-0.266
"1102"	0.102	0.13	0.05	0.023	-0.029	-0.537	-0.258
"1103"	-0.052	-0.192	0.162	0.17	0.144	0.346	-0.024
"1104"	0.214	-0.277	-0.164	0.3	0.299	1.166	0.285
"1105"	0.39	0.124	-0.047	0.079	-0.107	0.263	0.114
"1106"	0.133	-0.123	-0.25	0.17	0	0.547	0.001
"1107"	0.366	0.295	-0.021	1.279	1.443	1.761	2.341
"1108"	-0.629	-0.894	0.598	0.089	0.025	1.016	0.595
"1109"	0.348	0.182	0.018	0.304	0.182	-0.31	-0.03
"1110"	0.26	0.276	0.506	0.24	0.098	-0.712	-0.926
"1111"	-0.136	-0.324	-0.319	0.369	0.932	1.875	2.406
"1112"	-0.108	-0.056	0.174	0.065	0.399	0.488	0.367
"1113"	0.111	0.059	0.593	-0.01	-0.107	0.064	-0.506
"1114"	0.312	0.18	-0.01	0.035	-0.03	-0.178	-0.637
"1115"	-0.033	-0.092	-0.35	0.312	0.315	1.369	0.516
"1116"	-0.16	-0.448	0.384	0.187	0.119	2.112	1.423
"1117"	0.052	-0.209	-0.353	-0.777	-0.851	-1.575	-1.291
"1118"	0.211	0.364	-0.327	-0.27	-0.328	-0.378	-0.226
"1119"	-0.482	-1.189	0.267	0.266	0.569	1.739	0.746
"1120"	0.156	0.138	-0.02	0.12	0.1	0.193	-0.121
"1121"	-0.016	-0.147	-0.236	0.297	0.336	0.894	-0.17
"1122"	-0.034	-0.062	-0.135	0.062	0.129	0.068	-0.153
"1123"	-0.23	-0.469	-0.299	-0.076	0.139	0.516	-0.199
"1124"	-0.273	-0.655	-0.467	-0.115	-0.109	0.862	0.622
"1125"	0.048	-0.178	-0.365	-0.025	-0.07	-0.213	-0.304
"1126"	0.159	0.268	-0.294	0.195	0.178	-0.852	-0.748
"1127"	-0.587	-0.895	-0.05	-0.177	-0.273	0.251	0.36
"1128"	0.163	0.651	0.31	0.06	-0.018	-0.833	-0.608
"1129"	0.135	0.142	-0.368	-0.263	-0.335	-0.883	-0.765
"1130"	-0.391	-0.833	-1.075	-0.515	-0.268	0.326	0.04
"1131"	-0.106	-0.137	-0.297	0.089	0.37	0.771	-0.243
"1132"	-0.145	-0.188	-0.502	-0.197	-0.181	0.082	-0.299
"1133"	-0.14	-0.513	-0.421	-0.075	-0.305	-0.015	-0.519
"1134"	-0.165	-0.303	-0.222	-0.029	-0.092	1.23	0.359
"1135"	-0.229	-0.854	-0.321	-0.116	-0.943	0.885	-0.003
"1136"	-0.183	NA	-0.057	-0.198	-0.622	0.556	0.274
"1137"	-0.61	NA	0.666	0.424	-0.098	1.299	NA
"1138"	-0.25	NA	0.439	0.062	-0.338	1.051	0.238
"1139"	0.059	0.179	-0.094	0.033	0.047	0.206	0.056
"1140"	-0.694	-1.937	0.568	0.49	0.156	1.423	1.175
"1141"	0.412	0.081	0.266	0.522	0.143	-1.296	-2.018
"1142"	-0.071	-0.425	-0.202	-0.062	-0.453	-0.642	-0.998
"1143"	0.122	-0.064	-0.272	-0.116	-0.059	-0.526	-0.677
"1144"	-0.242	-0.619	0.182	0.002	-0.268	0.588	-0.065
"1145"	0.078	0.036	-0.591	-0.265	-0.574	-1.534	-0.954
"1146"	0.297	0.176	0.244	-0.218	-0.604	-1.268	-2.274
"1147"	-0.035	-0.184	-0.061	-0.097	-0.62	-0.335	-0.31
"1148"	0.202	0.124	0.36	0.366	0.156	0.058	-0.631
"1149"	-0.248	-0.687	-0.285	0.019	-0.28	0.618	0.179
"1150"	-0.085	-0.026	0.616	0.213	-0.236	0.902	0.284
"1151"	-0.269	-0.429	0.908	0.662	0.55	1.629	1.183
"1152"	-0.096	-0.282	-0.017	0.252	0.519	1.449	0.646
"1153"	0.279	0.156	-0.043	0.435	0.4	1.7	0.974
"1154"	-0.141	-0.87	0.043	-0.183	-0.232	0.758	0.142
"1155"	0.049	-0.347	-0.139	-0.229	-0.246	0.524	-0.192
"1156"	0.031	0.027	0.597	0.792	0.648	1.799	2.042
"1157"	-0.013	-0.361	-0.269	-0.085	-0.086	0.291	-0.199
"1158"	0.093	-0.074	0.352	-0.417	-0.404	-0.738	-0.085
"1159"	0.159	-0.089	-0.045	-0.042	0.003	0.495	0.225
"1160"	0.177	-0.008	0.104	0.332	0.241	0.662	0.377
"1161"	0.243	0.199	0.38	0.197	0.204	-0.949	-0.955
"1162"	-0.038	-0.092	-0.144	-0.047	0.02	-0.373	-0.353
"1163"	-0.299	-0.309	0.257	0.042	-0.138	0.313	0.173
"1164"	0.088	0.126	0.142	-0.194	-0.327	-0.189	-0.687
"1165"	0.116	-0.007	0.036	0.232	0.414	1.071	0.234
"1166"	-0.401	-0.651	0.002	-0.204	-0.301	0.465	0.263
"1167"	-0.057	-0.141	0.011	0.128	-0.032	-0.2	-0.192
"1168"	-0.486	-0.444	0.36	-0.19	-0.471	0.574	0.212
"1169"	0.179	0.187	0.478	0.251	0.216	-0.118	-0.992
"1170"	0.067	0.193	-0.234	-0.068	-0.038	0.367	0.027
"1171"	-0.078	-0.266	0.287	0.079	0.402	0.637	0.713
"1172"	0.104	-0.209	-0.419	-0.316	-0.325	0.16	0.189
"1173"	0.128	0.086	-0.276	-0.42	-0.762	-1.021	-1.113
"1174"	-0.033	0.004	-0.472	0.455	0.288	0.549	0.359
"1175"	-0.461	-0.179	0.282	0.198	-0.133	0.618	0.19
"1176"	-0.74	NA	0.334	-0.155	-0.679	0.438	0.618
"1177"	-0.109	0.206	-0.223	0.106	0.05	0.464	0.789
"1178"	-0.043	-0.197	0.003	0.271	0.414	0.874	0.233
"1179"	-0.084	0.033	-0.159	0.23	0.385	1.505	0.69
"1180"	0.243	0.141	-0.256	0.069	-0.136	-0.202	-0.297
"1181"	-0.007	-0.265	-0.204	0.161	-0.268	0.148	-0.348
"1182"	0.129	-0.18	-0.247	0.089	-0.058	0.327	-0.12
"1183"	0.078	0.068	-0.056	-0.022	-0.091	-0.284	-0.288
"1184"	0.321	0.104	0.02	-0.244	-0.497	-1.468	-1.562
"1185"	0.213	-0.291	-0.473	-1.024	-1.104	-0.517	-1.577
"1186"	0.158	0.239	0.014	0.209	0.213	0.055	0.226
"1187"	0.197	-0.019	-0.103	0.454	0.176	1.016	0.084
"1188"	-0.123	-0.353	0.821	0.774	0.523	0.663	0.11
"1189"	-0.049	-0.081	-0.265	0.42	0.333	1.183	0.544
"1190"	0.12	-0.455	-0.015	0.2	0.386	1.507	1.25
"1191"	0.005	-0.113	-0.084	0.092	-0.13	1.628	2.612
"1192"	-0.125	-0.174	-0.25	0.216	-0.092	0.577	0.344
"1193"	0.218	0.217	0.207	-0.209	-0.441	-1.963	-1.061
"1194"	-0.012	-0.189	0.471	1.058	1.438	3.546	2.68
"1195"	-0.344	-0.527	-0.391	-0.13	-0.277	-0.485	-0.48
"1196"	0.191	0.111	-0.059	0.215	0.314	0.898	0.126
"1197"	-0.167	-0.133	0.192	0.366	0.69	1.264	1.302
"1198"	0.084	-0.056	-0.355	-0.066	-0.314	-0.08	-0.174
"1199"	0.027	0.318	-0.03	0.488	0.511	1.741	2.127
"1200"	0.154	-0.105	-0.373	-0.174	-0.199	-0.14	0.064
"1201"	-0.041	-0.169	-0.228	-0.118	-0.153	-0.702	-0.779
"1202"	0.03	-0.092	0.092	0.627	0.535	1.437	1.486
"1203"	0.058	-0.142	-0.252	-0.169	0.041	-0.253	-0.519
"1204"	-0.084	-0.308	-0.18	-0.099	-0.029	0.287	-0.619
"1205"	0.053	-0.35	-0.5	-1.082	-1.185	-2.196	0.404
"1206"	-0.126	-0.32	-0.337	-0.371	-0.529	-0.113	-0.476
"1207"	-0.274	-0.36	-0.458	-0.167	-0.101	1.315	1.405
"1208"	0.062	-0.053	-0.029	0.041	0.299	0.977	-0.371
"1209"	-0.209	-0.351	-0.136	0.425	0.397	1.113	0.001
"1210"	-0.117	-0.389	-0.408	-0.092	-0.157	0.561	0.512
"1211"	0.122	0.149	-0.049	0.015	-0.094	-0.817	-0.63
"1212"	0.141	0.102	-0.047	-0.085	0.116	-1.349	-1.042
"1213"	0.23	0.178	0.311	-0.1	0.097	-0.017	0.29
"1214"	0.049	0.066	0.159	-0.416	-0.135	0.452	0.225
"1215"	-0.122	NA	-0.498	0.084	-0.214	0.836	0.286
"1216"	-0.011	NA	-0.231	0.031	-0.273	0.242	-0.536
"1217"	-0.02	-0.139	-0.728	-0.336	-0.697	-0.29	-1.039
"1218"	-0.037	-0.264	-0.496	-0.569	-0.684	-1.83	-1.793
"1219"	0.146	-0.05	0.089	0.232	0.429	0.763	1.359
"1220"	0.354	0.289	0.169	0.282	0.13	-0.122	-0.156
"1221"	-0.041	-0.392	0.033	0.275	0.188	-0.058	-0.401
"1222"	-0.015	-0.07	-0.087	0.165	0.011	0.254	-0.421
"1223"	-0.109	-0.412	-0.426	-0.036	0.205	0.754	0.655
"1224"	0.167	0.124	0.275	0.477	0.548	0.491	-0.265
"1225"	0.112	-0.049	0.125	0.154	0.076	-0.257	-0.652
"1226"	0.351	0.145	0.197	-0.045	0.036	-0.121	-0.175
"1227"	0.071	-0.038	0.059	0.112	-0.1	0.176	-0.734
"1228"	0.284	0.107	0.294	0.414	0.331	1.32	0.493
"1229"	0.1	-0.127	-0.149	0.347	0.227	0.784	0.514
"1230"	0.254	0.022	-0.011	0.429	0.393	0.942	0.834
"1231"	-0.008	-0.069	0.014	1.101	1.159	2.913	2.154
"1232"	0.262	-0.05	0.064	-0.46	-0.738	-1.804	-2.292
"1233"	0.414	0.094	0.469	0.622	0.66	0.862	0.437
"1234"	0.037	-0.189	-0.147	-0.048	0.005	0.763	0.796
"1235"	0.129	-0.318	0.056	0.223	0.222	1.39	0.419
"1236"	0.24	-0.035	-0.181	-0.009	0.069	0.481	0.598
"1237"	0.332	0.048	0.524	0.166	0.024	0.056	-0.053
"1238"	0.037	-0.108	0.21	0.087	0	1.168	NA
"1239"	0.042	0.236	-0.158	-0.008	-0.191	-0.349	-0.118
"1240"	-0.043	-0.069	-0.252	0.11	0.102	1.137	1.284
"1241"	-0.288	-0.4	-0.211	-0.484	-0.274	0.164	-0.228
"1242"	-0.034	0.06	-0.366	-0.679	-0.743	-1.808	-1.134
"1243"	-0.151	-0.097	-0.238	-0.281	-0.473	-1.263	-0.877
"1244"	-0.654	-0.646	0.043	0.129	-0.19	0.966	1.181
"1245"	-0.179	-0.456	0.013	-0.081	0.184	0.581	-0.3
"1246"	-0.145	-0.267	0.239	-0.603	-0.439	-0.006	-0.415
"1247"	0.018	-0.089	-0.18	-0.161	-0.169	-0.148	-0.31
"1248"	0.003	0.013	0.062	0.024	-0.067	0.053	-0.219
"1249"	-0.114	-0.196	-0.014	-0.121	-0.242	0.194	-0.057
"1250"	0.054	-0.026	-0.301	-0.181	-0.354	-1.492	-1.791
"1251"	0.041	0.048	0.471	0.061	-0.053	0.119	-0.235
"1252"	0.125	-0.092	-0.335	-0.374	-0.428	-0.4	0.66
"1253"	-0.078	-0.125	0.051	-0.167	-0.376	0.636	0.611
"1254"	0.264	-0.108	-0.078	-0.286	-0.369	-0.551	-1.068
"1255"	-0.026	NA	-0.391	-0.004	-0.223	0.035	0.445
"1256"	0.112	NA	0.002	0.197	0.169	-0.416	-0.356
"1257"	-0.066	-0.078	-0.311	0.172	-0.021	-0.619	-0.368
"1258"	0.065	0.569	0.05	-0.074	-0.3	0.486	0.103
"1259"	-0.175	-0.455	0.139	-0.024	-0.508	0.588	0.584
"1260"	-0.11	-0.213	0.215	-0.134	-0.392	0.494	0.148
"1261"	-0.132	-0.165	0.462	0.177	0.223	0.768	0.883
"1262"	0.14	-0.29	-0.242	0.114	0.016	0.489	0.457
"1263"	0.008	0.142	-0.407	-0.068	-0.048	-0.312	-0.023
"1264"	-0.014	-0.421	0.042	-0.665	-0.884	0.076	-0.938
"1265"	0.276	-0.054	0.161	-0.09	-0.32	-1.872	-2.08
"1266"	-0.333	-0.684	-0.434	-0.398	-0.911	-2.527	-2.081
"1267"	-0.119	-0.187	0.282	0.278	0.094	0.506	0.482
"1268"	-0.221	-0.537	0.11	0.26	0.071	0.352	0.001
"1269"	0.096	0.084	0.176	0.601	0.353	0.977	0.979
"1270"	0.026	0.045	-0.089	0.249	0.192	0.196	0.044
"1271"	0.027	-0.204	0.219	0.201	0.212	1.11	0.543
"1272"	0.173	0.04	-0.159	-0.43	-0.701	-1.955	-1.699
"1273"	-0.085	-0.065	0.018	0.128	0.067	0.9	1.658
"1274"	-0.013	-0.168	0.088	0.152	-0.134	0.608	0.447
"1275"	0.109	-0.228	-0.397	-0.112	-0.17	0.231	0.281
"1276"	0.057	-0.136	-0.129	0.239	0.15	0.535	0.433
"1277"	-0.135	-0.338	-0.53	-0.257	-0.22	0.408	-0.153
"1278"	0.014	0.005	-0.395	-0.614	-0.895	-0.517	-0.615
"1279"	-0.385	-0.571	-0.494	-0.366	-0.56	-0.726	-0.89
"1280"	-0.093	-0.196	-0.517	-0.079	-0.368	-0.1	-0.301
"1281"	0.089	0.128	0.364	0.39	0.65	0.227	-0.833
"1282"	-0.238	-0.234	-0.307	-0.258	-0.157	0.258	-0.57
"1283"	-0.08	-0.279	-0.516	-0.167	-0.226	1.605	0.76
"1284"	0.015	-0.062	-0.189	0.469	0.342	0.569	-0.137
"1285"	-0.052	-0.066	-0.712	-0.665	-0.272	-1.123	-1.615
"1286"	0.171	-0.101	-0.188	-0.203	-0.298	-0.456	-0.491
"1287"	-0.056	-0.24	-0.472	-0.678	-0.828	-1.591	-1.385
"1288"	-0.076	-0.159	-0.106	0.141	0.042	0.301	-0.09
"1289"	-0.369	-0.693	-0.83	-0.19	-0.51	0.225	-0.109
"1290"	-0.361	-0.482	-0.158	-0.293	-0.439	0.427	0.295
"1291"	-0.214	-0.386	-0.553	-0.494	-0.479	-0.661	-0.964
"1292"	0.222	0.208	-0.036	0.248	-0.008	0.031	-0.052
"1293"	-0.005	-0.026	-0.258	-0.172	-0.454	-0.278	-0.191
"1294"	0.184	-0.076	-0.092	0.132	0.088	0.048	0.263
"1295"	0.004	NA	-0.057	0.204	0.346	0.361	0.021
"1296"	0.193	NA	-0.612	-0.333	-0.388	-1.079	-0.714
"1297"	-0.415	-0.811	0.474	0.121	-0.093	1.089	1.303
"1298"	-0.105	-0.247	0.058	0.346	0.211	0.769	1.329
"1299"	0.328	-0.006	0.343	0.066	-0.363	-1.823	-2.039
"1300"	0.105	-0.005	0.396	0.884	0.912	0.477	1.064
"1301"	0.157	-0.2	0.377	-0.628	-0.909	-0.2	-1.597
"1302"	0.056	-0.085	-0.09	-0.261	0.629	1.195	1.825
"1303"	0.164	-0.144	-0.138	-0.446	-0.573	0.189	0.112
"1304"	0.129	-0.265	0.127	-0.291	-0.364	0.266	-0.367
"1305"	-0.161	-0.458	0.237	0.113	0.384	0	0.126
"1306"	-0.219	-0.44	0.399	0.242	0.237	0.753	0.608
"1307"	0.139	-0.144	0.133	0.264	0.504	0.588	0.305
"1308"	-0.037	-0.234	-0.237	0.061	0.14	1.071	0.734
"1309"	-0.178	-0.043	0.102	-0.338	-0.478	0.807	0.562
"1310"	-0.049	-0.29	0.024	0.54	0.254	0.533	0.423
"1311"	0.228	0.392	0.954	0.639	0.603	0.674	0.422
"1312"	0.104	-0.123	0.247	-0.507	-0.502	-0.096	-1.03
"1313"	0.023	-0.517	0.282	-0.01	-0.327	0.887	0.367
"1314"	0.172	-0.037	-0.389	-0.101	0.102	0.524	0.39
"1315"	-0.276	-0.254	-0.066	0.066	-0.083	0.71	0.735
"1316"	-0.097	-0.075	-0.179	-0.041	-0.026	-0.194	0.135
"1317"	-0.016	-0.423	0.177	0.016	-0.602	1.03	0.542
"1318"	-0.397	-0.162	-0.34	0	-0.117	1.694	0.321
"1319"	-0.18	-0.101	-0.318	0.006	-0.2	0.444	0.742
"1320"	-0.817	-2.225	0.727	0.083	-0.031	1.974	1.357
"1321"	-0.099	-0.124	-0.508	-0.534	-0.53	-1.29	-1.168
"1322"	-0.415	-0.688	-0.14	-0.042	0.145	0.664	0.213
"1323"	-0.387	-0.453	-0.203	-0.32	-0.395	0.444	0.339
"1324"	-0.186	-0.31	-0.382	-0.237	-0.201	0.118	-0.193
"1325"	-0.149	-0.309	-0.116	0.164	-0.07	-0.577	-0.511
"1326"	-0.087	-0.448	-0.08	0.088	0.039	0.24	-0.256
"1327"	-0.136	-0.157	-0.351	-0.122	-0.116	-0.676	-0.674
"1328"	-0.406	-0.412	0.048	0.152	0.101	1.032	1.028
"1329"	0.197	0.152	0.065	0.3	0.258	-0.126	-0.441
"1330"	-0.066	0.062	-0.141	-0.146	-0.179	-0.585	-0.436
"1331"	-0.056	-0.079	0.008	1.122	1.217	2.615	2.206
"1332"	-0.307	-0.778	0.293	-0.079	-0.387	0.613	0.456
"1333"	0.082	-0.312	-0.252	-0.021	-0.229	-0.207	-0.479
"1334"	-0.104	NA	0.465	0.002	-0.13	0.475	0.103
"1335"	0.177	NA	0.327	0.109	0.059	-0.17	-0.204
"1336"	-0.026	-0.318	-0.166	0.16	-0.122	0.068	NA
"1337"	0.157	0.015	-0.026	-0.057	-0.256	0.583	NA
"1338"	0.084	0.112	-0.26	-0.074	0.001	-0.37	-0.199
"1339"	0.084	0.008	0.226	0.192	0.159	-0.475	-0.559
"1340"	-0.09	-0.351	0.206	-0.098	-0.281	0.563	-0.16
"1341"	-0.312	-0.686	0.542	0.253	0.026	1.033	0.976
"1342"	0.219	0.176	-0.384	-0.106	-0.274	-0.47	-0.719
"1343"	0.053	0.036	-0.307	-0.082	-0.087	-0.095	-0.051
"1344"	-0.1	-0.18	-0.277	0.037	0.12	0.103	-0.2
"1345"	0.208	-0.042	0.349	-0.005	-0.297	0.523	-0.679
"1346"	0.294	0.108	0.476	-0.154	-0.464	-0.085	-0.132
"1347"	-0.297	-0.625	0.015	-0.167	-0.019	0.871	0.653
"1348"	0.109	0.298	0.424	0.627	0.655	2.436	1.632
"1349"	-0.042	-0.019	0.15	0.131	0.287	0.901	0.64
"1350"	0.178	0.001	0.39	-0.342	-0.28	0.024	-0.321
"1351"	0.159	0.056	-0.255	-0.087	-0.214	-0.255	-0.222
"1352"	-0.057	-0.094	-0.218	0.097	-0.134	0.068	0.071
"1353"	0.004	-0.409	-0.027	0.04	-0.209	0.927	-0.274
"1354"	0.054	-0.317	-0.22	0.11	0.325	0.914	0.333
"1355"	0.102	-0.273	-0.168	-0.514	-0.692	-0.84	-1.077
"1356"	0.136	-0.236	0.329	0.003	-0.298	0.93	-0.296
"1357"	-0.039	-0.268	-0.186	-0.321	-0.54	-0.177	-0.227
"1358"	0.466	0.16	0.212	0.185	0.103	-1.243	-1.047
"1359"	0.134	-0.032	-0.323	-0.344	-0.867	-0.354	0.351
"1360"	-0.878	-1.168	0.032	0.103	0.271	1.93	2.625
"1361"	-0.179	-0.229	-0.022	0.034	0.173	0.044	-0.346
"1362"	-0.146	-0.173	0.085	0.052	0.147	0.026	-0.033
"1363"	-0.177	-0.242	0	-0.219	-0.38	0.143	-0.306
"1364"	-0.424	-0.539	-0.215	0.095	0.12	1.937	1.123
"1365"	-0.109	-0.107	0.121	0.26	0.466	-0.16	-0.088
"1366"	-0.033	0.162	0.066	0.607	0.84	0.763	0.221
"1367"	-0.269	-0.577	-0.239	-0.293	-0.521	0.196	0.049
"1368"	0.077	0.221	0.923	0.837	1.308	0.103	-0.241
"1369"	0.1	0.039	0.249	0.606	0.501	-0.045	0.242
"1370"	-0.112	-0.331	-0.131	-0.208	-0.593	0.219	-0.616
"1371"	0.035	-0.144	-0.337	-0.535	-0.77	-1.074	-1.458
"1372"	0.032	-0.031	0.027	0.168	-0.05	0.195	0.169
"1373"	-0.097	NA	-0.22	0.292	0.391	0.777	-0.137
"1374"	-0.224	NA	0.326	0.226	0.113	0.836	1.437
"1375"	-0.227	-0.063	-0.206	0.009	-0.286	0.172	-0.58
"1376"	0.301	0.301	0.381	0.123	-0.032	-0.229	-0.962
"1377"	-0.062	-0.264	-0.031	0.173	0.062	0.571	0.489
"1378"	0.04	0.161	-0.113	-0.064	0.107	-0.314	-0.005
"1379"	-0.053	-0.064	-0.219	-0.127	-0.031	-0.266	0.129
"1380"	0.063	0.082	0.862	0.288	0.411	0.831	NA
"1381"	-0.056	-0.259	0.479	0.261	0.103	0.74	0.278
"1382"	0.143	-0.068	0.694	0.209	-0.006	0.578	0.626
"1383"	0.155	-0.06	0.06	0.021	0.133	0.526	0.167
"1384"	0.022	-0.01	0.295	0.149	0.274	0.833	0.509
"1385"	0.139	-0.039	0.167	-0.032	-0.004	0.314	-0.599
"1386"	-0.033	-0.429	0.018	0.214	0.037	0.499	0.045
"1387"	-0.287	0.011	-0.483	-0.1	0.147	0.25	-0.189
"1388"	0.017	-0.25	-0.067	-0.209	-0.408	0.335	-0.844
"1389"	0.003	0.029	0.188	0.173	0.06	0.29	-0.432
"1390"	0.104	0.104	0.512	0.693	0.772	2.358	2.028
"1391"	-0.045	-0.445	0.327	0.226	-0.151	-0.251	0.091
"1392"	0.199	-0.02	-0.103	-0.251	-0.331	-1.096	-1.753
"1393"	0.062	-0.235	0.151	0.219	0.004	0.856	-0.185
"1394"	0.245	-0.125	0.038	0.08	-0.019	0.1	-0.743
"1395"	-0.177	-0.904	-0.181	0.002	0.068	1.093	-0.101
"1396"	0.132	0.03	0.15	0.258	0.752	1.76	0.989
"1397"	-0.061	-0.079	0.401	0.143	0.767	0.73	0.085
"1398"	0.207	-0.041	0.134	0.292	0.176	-0.668	-1.271
"1399"	0.01	-0.223	0.245	-0.104	-0.701	0.669	0.207
"1400"	0.157	0.038	0.4	0.253	0.169	0.721	0.135
"1401"	-0.163	0.023	-0.016	0.27	0.081	0.531	0.163
"1402"	-0.397	-0.132	-0.502	-0.233	-0.154	0.445	0.127
"1403"	0.138	0.225	0.316	0.535	0.308	-0.352	-0.462
"1404"	0.028	-0.104	-0.086	-0.846	-0.874	-0.715	-1.239
"1405"	-0.052	-0.166	-0.15	-0.012	0.269	0.119	-0.873
"1406"	-0.098	-0.149	0.063	-0.06	0.135	0.59	-0.09
"1407"	-0.092	-0.017	-0.344	-0.238	-0.269	-0.409	-0.221
"1408"	0.149	0.34	0.334	0.222	0.12	0.444	0.131
"1409"	0.037	-0.031	0.177	-0.714	-0.929	-0.916	-1.339
"1410"	-0.161	-0.25	-0.321	0.165	-0.034	0.645	0.137
"1411"	0.222	0.038	0.261	-0.375	-0.458	-1.812	-2.782
"1412"	0.295	NA	0.164	-0.184	-0.226	-1.537	-2.235
"1413"	-0.146	NA	-0.252	0.095	-0.015	0.105	-0.853
"1414"	-0.048	-0.098	0.308	-0.056	-0.368	0.524	0.822
"1415"	-0.204	-0.178	-0.331	-0.115	-0.162	-0.163	-0.16
"1416"	0.135	-0.212	0.365	0.293	0.216	0.263	-0.154
"1417"	-0.256	-0.601	-0.535	0.061	-0.231	-0.026	-0.142
"1418"	0.057	-0.067	-0.295	0.098	-0.091	-0.375	0.091
"1419"	-0.18	-0.284	-0.139	-0.421	-0.635	0.584	0.084
"1420"	0.155	-0.024	-0.013	-0.567	-0.535	-0.973	-1.057
"1421"	0.162	-0.167	-0.351	-0.371	-0.341	-0.8	-0.746
"1422"	0.178	0.181	-0.196	-0.103	0.028	-0.471	-1.081
"1423"	-1.55	-1.932	-0.465	-0.791	-0.423	0.303	0.209
"1424"	0.11	0.197	0.124	-0.205	-0.129	-0.132	NA
"1425"	0.201	0.011	0.078	0.262	0.09	0.685	-0.199
"1426"	-0.071	-0.344	0.075	0.12	0.115	0.953	NA
"1427"	-0.282	-0.726	-0.127	NA	-0.09	0.807	0.655
"1428"	-0.132	-0.306	0.268	0.111	0.369	0.694	-0.536
"1429"	0.089	-0.34	-0.772	-0.548	-0.233	1.004	0.508
"1430"	0.247	-0.233	0.286	-0.005	-0.22	0.677	1.405
"1431"	-0.762	NA	1.171	0.442	0.371	2.634	1.947
"1432"	-0.469	-1.364	0.575	-0.082	-0.114	1.234	NA
"1433"	-0.04	-0.248	0.339	0.103	-0.011	0.906	-0.413
"1434"	-0.329	-0.517	-0.46	-0.003	-0.246	1.027	0.862
"1435"	0.146	-0.111	-0.235	-1.014	-1.405	-3.278	-2.823
"1436"	0.029	0.087	1.557	0.894	0.625	1.157	0.261
"1437"	-0.238	-0.166	-0.237	-0.22	-0.239	-0.236	-0.193
"1438"	-0.022	-0.213	-0.061	0.069	-0.063	1.368	1.132
"1439"	0.097	0.01	0.163	0.293	0.353	1.066	0.614
"1440"	0.541	0.397	-0.493	0.134	0.164	-1.065	-0.517
"1441"	-0.2	-0.758	-0.213	-0.397	-0.92	-2.982	-0.596
"1442"	-0.104	0.081	-0.113	-0.144	-0.113	0.17	-0.507
"1443"	-0.047	-0.027	-0.248	0.266	-0.108	0.087	-0.078
"1444"	-0.249	NA	-0.29	-0.243	-0.459	0.439	0.008
"1445"	0.081	-0.1	0.306	0.047	-0.502	-0.252	-1.177
"1446"	0.131	-0.033	0.062	0.29	0.046	-0.482	-0.486
"1447"	-0.831	-2.645	0.402	0.241	-0.354	1.027	1.224
"1448"	-0.356	-0.794	-0.387	-0.198	-0.218	0.376	0.454
"1449"	-0.024	-0.056	0.066	0.233	0.171	0.283	0.036
"1450"	0.034	-0.266	-0.34	-0.394	-0.57	0.137	0.119
"1451"	-0.538	NA	-0.311	-0.774	-1.311	0.157	-0.652
"1452"	-0.002	NA	-0.044	-0.099	-0.517	0.267	-0.358
"1453"	0.022	-0.098	-0.14	0.161	-0.185	0.769	0.051
"1454"	0.113	-0.059	0.378	-0.017	-0.495	-0.136	-0.753
"1455"	-0.681	-1.186	0.373	-0.377	-0.558	0.761	0.534
"1456"	0.321	0.209	0.456	0.4	0.307	-1.221	-1.174
